,iteration,0,1,2,3
0,0,0.0,0.0,2.0,-1.0
1,1,0.003688429356044149,0.0056119285205072506,1.9879582276630134,-0.9972585855395649
2,2,0.007541731596893071,0.011108133520842712,1.9758557081501809,-0.9945055732679168
3,3,0.011579899361715738,0.01647006502630977,1.9636909044485886,-0.9917408688366143
4,4,0.01582782213297719,0.02167455721307359,1.9514619992345223,-0.9889643785805734
5,5,0.020316627931834128,0.026692616489315743,1.939166766237318,-0.9861760106584682
6,6,0.02508432763063133,0.03148898733077006,1.9268023619592352,-0.9833756769206369
7,7,0.030171914244568332,0.03602639836238937,1.9143649833728773,-0.9805632959798354
8,8,0.03560053807233923,0.040288935872765864,1.9018493240568755,-0.9777387980019809
9,9,0.041293648105601655,0.04436060327089865,1.8892478789868732,-0.9749021303633738
10,10,0.04697447783475499,0.04852791008821394,1.8765508680687542,-0.9720532559917234
11,11,0.05239093085903852,0.05305246412902976,1.8637487308399325,-0.9691921258280011
12,12,0.05760946044179872,0.057873766922575065,1.8508354197981856,-0.9663186471625596
13,13,0.06276142668340302,0.06286407489425734,1.837807197798767,-0.9634326993764275
14,14,0.06791715536924767,0.06795628532644472,1.8246607136856932,-0.9605341543813857
15,15,0.07310782376086511,0.07312253182405215,1.8113925257349168,-0.9576228813198343
16,16,0.07834712555837012,0.07835259271089672,1.7979990288527912,-0.9546987471220583
17,17,0.08364158375504514,0.0836435976466845,1.784476435126402,-0.9517616165281318
18,18,0.0889949280681512,0.08899566437682359,1.7708207596034093,-0.9488113520483844
19,19,0.09440987043342593,0.09441013795271691,1.757027805529928,-0.945847813916071
20,20,0.09988880755722103,0.09988890423628156,1.743093148244731,-0.9428708600382338
21,21,0.10543409684215124,0.10543413162146739,1.7290121174818136,-0.9398803459454326
