n,k,m,naive_version_time,matrix_version_time,iterations_count
137,676,150,7.426678419113159,0.04404258728027344,10
138,676,150,7.412256240844727,0.04704761505126953,10
139,676,150,7.525074005126953,0.045043230056762695,10
140,676,150,7.2852489948272705,0.04804229736328125,10
141,676,150,7.5168538093566895,0.04704451560974121,10
142,676,150,7.554760456085205,0.046044349670410156,10
143,676,150,7.5692877769470215,0.046042680740356445,10
144,676,150,7.376164197921753,0.047043561935424805,10
145,676,150,7.423914432525635,0.04604506492614746,10
146,676,150,7.450480699539185,0.05305027961730957,10
147,676,150,7.527867317199707,0.05205035209655762,10
148,676,150,7.3331921100616455,0.04904532432556152,10
149,676,150,7.55418586730957,0.0520479679107666,10
150,676,150,7.527334690093994,0.050046682357788086,10
151,676,150,7.597551345825195,0.05204939842224121,10
152,676,150,7.5002007484436035,0.05004525184631348,10
153,676,150,7.703314542770386,0.05004525184631348,10
154,676,150,7.653046607971191,0.05104684829711914,10
155,676,150,7.750912666320801,0.052049875259399414,10
156,676,150,7.521338939666748,0.05155229568481445,10
157,676,150,8.114429950714111,0.0550539493560791,10
158,676,150,8.077219486236572,0.05833745002746582,10
159,676,150,8.296163320541382,0.05805468559265137,10
160,676,150,8.164122581481934,0.06705832481384277,10
161,676,150,8.352752923965454,0.07006454467773438,10
162,676,150,8.45468521118164,0.06906795501708984,10
163,676,150,8.229345560073853,0.05604815483093262,10
164,676,150,8.005596399307251,0.058368682861328125,10
165,676,150,8.638399124145508,0.09208297729492188,10
166,676,150,8.650700092315674,0.07306313514709473,10
167,676,150,8.299736738204956,0.05605483055114746,10
168,676,150,8.154963731765747,0.05705094337463379,10
169,676,150,8.477883338928223,0.06206083297729492,10
170,676,150,9.870561122894287,0.06705904006958008,10
171,676,150,9.841984510421753,0.06205582618713379,10
172,676,150,9.924117088317871,0.06105542182922363,10
173,676,150,10.17767882347107,0.0670623779296875,10
174,676,150,10.081048727035522,0.06306242942810059,10
175,676,150,10.622986316680908,0.06305694580078125,10
176,676,150,10.297621488571167,0.10409379005432129,10
177,676,150,10.074511528015137,0.06506013870239258,10
178,676,150,9.368239402770996,0.10509657859802246,10
179,676,150,9.10721731185913,0.08807849884033203,10
