n,k,m,naive_version_time,matrix_version_time,iterations_count
72,676,539,19.95224928855896,0.07006502151489258,10
72,216,527,6.2226831912994385,0.02602219581604004,10
72,958,615,32.400617361068726,0.11610531806945801,10
72,649,834,29.443430185317993,0.1040959358215332,10
72,757,197,8.148444890975952,0.04104113578796387,10
72,523,271,7.707334280014038,0.03102707862854004,10
72,794,531,22.9139461517334,0.08307981491088867,10
72,213,346,4.040313720703125,0.013382196426391602,10
72,621,819,27.614670276641846,0.09608936309814453,10
72,950,298,15.533529281616211,0.0700690746307373,10
72,353,701,13.57595443725586,0.051047325134277344,10
72,957,340,17.794949054718018,0.07507038116455078,10
72,875,611,29.197318077087402,0.10609841346740723,10
72,934,423,21.47357177734375,0.09008359909057617,10
72,164,790,7.108487129211426,0.045043230056762695,10
72,593,392,12.67670726776123,0.045042991638183594,10
72,648,733,25.862118244171143,0.12111282348632812,10
72,757,511,21.230714559555054,0.09609222412109375,10
72,730,202,8.05683946609497,0.04003596305847168,10
72,685,164,6.165639162063599,0.036034345626831055,10
72,730,647,25.673688650131226,0.09108328819274902,10
72,19,982,1.018925428390503,0.04304027557373047,10
72,823,456,20.396259307861328,0.07807254791259766,10
72,854,801,36.66541123390198,0.13411903381347656,10
72,956,540,27.608891248703003,0.10409259796142578,10
72,129,275,1.8827176094055176,0.007006406784057617,10
72,532,277,7.766881942749023,0.03402853012084961,10
72,445,699,16.538979053497314,0.06105518341064453,10
72,565,794,23.807907104492188,0.09008216857910156,10
72,509,933,25.213321924209595,0.10209107398986816,10
72,17,282,0.25623202323913574,0.005004167556762695,10
72,936,370,18.32679533958435,0.0820777416229248,10
72,834,47,2.108912229537964,0.034030914306640625,10
72,770,560,22.87527561187744,0.08607625961303711,10
72,842,456,20.52294158935547,0.08307504653930664,10
72,1,626,0.035024166107177734,0.01702594757080078,10
72,21,984,1.1070053577423096,0.04204106330871582,10
72,43,698,1.5908589363098145,0.022020578384399414,10
72,617,968,31.86708664894104,0.11910724639892578,10
72,84,569,2.539424419403076,0.01901841163635254,10
72,713,776,29.55307674407959,0.10709834098815918,10
72,935,552,27.385196447372437,0.10709524154663086,10
72,312,289,4.820396184921265,0.0200192928314209,10
72,739,871,34.24588370323181,0.12911748886108398,10
72,750,445,17.655104875564575,0.06906557083129883,10
72,279,613,9.024860858917236,0.03703474998474121,10
72,990,564,29.9436674118042,0.11210107803344727,10
72,420,822,18.366074800491333,0.07307004928588867,10
72,579,416,12.73067021369934,0.0450434684753418,10
72,318,225,3.8155879974365234,0.013018131256103516,10
72,752,692,27.838478326797485,0.09908843040466309,10
72,859,508,23.664422750473022,0.09308481216430664,10
72,661,469,16.89849019050598,0.062059879302978516,10
72,122,745,4.985540866851807,0.031031370162963867,10
72,921,617,30.990525484085083,0.11209869384765625,10
72,926,91,4.6552348136901855,0.0400395393371582,10
72,294,308,4.963642597198486,0.019020795822143555,10
72,649,866,30.52709460258484,0.10609650611877441,10
72,876,802,38.290651082992554,0.1361238956451416,10
72,530,33,0.9598698616027832,0.0180208683013916,10
72,89,306,1.4943568706512451,0.006006717681884766,10
72,241,723,9.498163223266602,0.0420384407043457,10
72,109,279,1.6404979228973389,0.008009672164916992,10
72,59,709,2.2680673599243164,0.026028871536254883,10
72,777,32,1.371243953704834,0.029028892517089844,10
72,898,869,42.67917561531067,0.1561424732208252,10
72,364,886,18.550407886505127,0.09608745574951172,10
72,129,909,6.742444038391113,0.05905413627624512,10
72,264,664,10.070350170135498,0.047045230865478516,10
72,407,749,16.801337957382202,0.06212306022644043,10
72,229,33,0.413374662399292,0.0050051212310791016,10
72,217,713,8.54149866104126,0.03981733322143555,10
72,233,258,3.434457540512085,0.020015716552734375,10
72,805,427,19.606196403503418,0.08903765678405762,10
72,342,156,3.0133399963378906,0.013014793395996094,10
72,32,463,0.8092758655548096,0.013012409210205078,10
72,342,188,3.607293128967285,0.015014410018920898,10
